0:0:0:0:0:0:0:1 - - [29/Jan/2024:11:07:13 +0700] "GET /DoAnWeb/XuLyAdminOrderCheckOut HTTP/1.1" 200 25385
0:0:0:0:0:0:0:1 - - [29/Jan/2024:11:07:46 +0700] "GET /DoAnWeb/XuLyAdminOrderCheckOut HTTP/1.1" 200 25385
0:0:0:0:0:0:0:1 - - [29/Jan/2024:11:09:03 +0700] "GET /DoAnWeb/DangNhap.jsp HTTP/1.1" 200 3708
0:0:0:0:0:0:0:1 - - [29/Jan/2024:11:09:12 +0700] "POST /DoAnWeb/XuLyDangNhap HTTP/1.1" 200 34054
0:0:0:0:0:0:0:1 - - [29/Jan/2024:11:09:14 +0700] "GET /DoAnWeb/XuLyProduct HTTP/1.1" 200 84734
0:0:0:0:0:0:0:1 - - [29/Jan/2024:11:09:16 +0700] "GET /DoAnWeb/Addtocart?productid=p03 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:11:09:16 +0700] "GET /DoAnWeb/XuLyProduct HTTP/1.1" 200 84735
0:0:0:0:0:0:0:1 - - [29/Jan/2024:11:09:17 +0700] "GET /DoAnWeb/Addtocart?productid=p07 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:11:09:17 +0700] "GET /DoAnWeb/XuLyProduct HTTP/1.1" 200 84735
0:0:0:0:0:0:0:1 - - [29/Jan/2024:11:09:19 +0700] "GET /DoAnWeb/XuLyToCart HTTP/1.1" 200 20136
0:0:0:0:0:0:0:1 - - [29/Jan/2024:11:09:21 +0700] "GET /DoAnWeb/XuLyCheckOut HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:11:09:21 +0700] "GET /DoAnWeb/XuLyToCheckOut HTTP/1.1" 200 15786
0:0:0:0:0:0:0:1 - - [29/Jan/2024:11:09:46 +0700] "POST /DoAnWeb/XuLyThanhToan?&username=Andree HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:11:09:46 +0700] "GET /DoAnWeb/XuLyThankYou HTTP/1.1" 200 14564
0:0:0:0:0:0:0:1 - - [29/Jan/2024:11:09:59 +0700] "GET /DoAnWeb/XuLyProduct HTTP/1.1" 200 84735
0:0:0:0:0:0:0:1 - - [29/Jan/2024:11:10:00 +0700] "GET /DoAnWeb/XuLyLogOut HTTP/1.1" 200 3708
0:0:0:0:0:0:0:1 - - [29/Jan/2024:11:10:11 +0700] "POST /DoAnWeb/XuLyDangNhap HTTP/1.1" 200 29856
0:0:0:0:0:0:0:1 - - [29/Jan/2024:11:10:13 +0700] "GET /DoAnWeb/XuLyAdminOrderCheckOut HTTP/1.1" 200 27717
0:0:0:0:0:0:0:1 - - [29/Jan/2024:11:10:57 +0700] "GET /DoAnWeb/XuLyAdminOrderCheckOut HTTP/1.1" 200 28125
